"SDG_IND","Indicator","LOCATION2017","Country","TIME","Time","Value","Flag Codes","Flags"
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","HRV","Croatia","2016","2016",60.9,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","HRV","Croatia","2017","2017",46.1,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","IRL","Ireland","2014","2014",55.8,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","IRL","Ireland","2015","2015",40.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","IRL","Ireland","2016","2016",39.9,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","IRL","Ireland","2017","2017",42.9,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SGP","Singapore","2014","2014",42.1,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SGP","Singapore","2015","2015",45.5,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SGP","Singapore","2016","2016",54.1,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SGP","Singapore","2017","2017",54.1,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","BEL","Belgium","2014","2014",46.6,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","BEL","Belgium","2015","2015",44.6,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","BEL","Belgium","2016","2016",46.1,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","BEL","Belgium","2017","2017",44.3,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SWE","Sweden","2014","2014",66.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SWE","Sweden","2015","2015",54.3,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SWE","Sweden","2016","2016",53.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SWE","Sweden","2017","2017",61.4,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","IRL","Ireland","2014","2014",24.3,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","IRL","Ireland","2015","2015",28.7,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","IRL","Ireland","2016","2016",28.6,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","IRL","Ireland","2017","2017",33.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","EST","Estonia","2014","2014",67,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","EST","Estonia","2015","2015",64,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","EST","Estonia","2016","2016",56.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","EST","Estonia","2017","2017",56.4,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","CYP","Cyprus","2014","2014",35,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","FRA","France","2014","2014",70.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","FRA","France","2015","2015",51.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","FRA","France","2016","2016",50.9,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","FRA","France","2017","2017",52.1,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","CZE","Czechia","2014","2014",21.6,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","CZE","Czechia","2015","2015",28.9,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","CZE","Czechia","2016","2016",23.8,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","CZE","Czechia","2017","2017",24.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","TUR","Turkey","2014","2014",37,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","TUR","Turkey","2015","2015",30.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","TUR","Turkey","2016","2016",37,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","TUR","Turkey","2017","2017",42.5,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","MLT","Malta","2014","2014",33.8,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","DNK","Denmark","2014","2014",49.4,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","DNK","Denmark","2015","2015",57.5,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","DNK","Denmark","2016","2016",59.6,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","DNK","Denmark","2017","2017",51.8,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","ITA","Italy","2014","2014",25.1,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","ITA","Italy","2015","2015",31.4,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","ITA","Italy","2016","2016",31,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LVA","Latvia","2014","2014",32.7,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LVA","Latvia","2015","2015",24,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LVA","Latvia","2016","2016",23.9,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LVA","Latvia","2017","2017",24.1,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","HRV","Croatia","2014","2014",33.1,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","HRV","Croatia","2015","2015",,"n","Magnitude nil or negligible"
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","HRV","Croatia","2016","2016",,"n","Magnitude nil or negligible"
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","MAR","Morocco","2014","2014",22.9,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","MAR","Morocco","2015","2015",19.7,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","MAR","Morocco","2016","2016",26.5,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","MAR","Morocco","2017","2017",33.9,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","AUT","Austria","2014","2014",39.6,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","AUT","Austria","2015","2015",42.1,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","AUT","Austria","2016","2016",44.1,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","AUT","Austria","2017","2017",44.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BGR","Bulgaria","2014","2014",50.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BGR","Bulgaria","2015","2015",43.9,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BGR","Bulgaria","2016","2016",38.5,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BGR","Bulgaria","2017","2017",44.3,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ITA","Italy","2014","2014",55.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ITA","Italy","2015","2015",49.5,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ITA","Italy","2016","2016",49,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BEL","Belgium","2014","2014",68.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BEL","Belgium","2015","2015",68,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BEL","Belgium","2016","2016",70.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","BEL","Belgium","2017","2017",69.7,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","AUT","Austria","2014","2014",54.3,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LUX","Luxembourg","2014","2014",51.3,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LUX","Luxembourg","2015","2015",62.7,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LUX","Luxembourg","2016","2016",57.4,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","LUX","Luxembourg","2017","2017",56.4,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","NLD","Netherlands","2014","2014",37.5,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","MLT","Malta","2014","2014",57.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","MLT","Malta","2015","2015",50.3,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","MLT","Malta","2016","2016",47.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","MLT","Malta","2017","2017",53.3,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ROU","Romania","2014","2014",36.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ROU","Romania","2015","2015",55.1,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ROU","Romania","2016","2016",60.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ROU","Romania","2017","2017",61,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","EGY","Egypt","2014","2014",0.9,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","EGY","Egypt","2015","2015",1.3,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","EGY","Egypt","2016","2016",23.8,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","PRT","Portugal","2014","2014",61.1,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","PRT","Portugal","2015","2015",48.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","PRT","Portugal","2016","2016",48.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","PRT","Portugal","2017","2017",50,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","LUX","Luxembourg","2014","2014",79.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","LUX","Luxembourg","2015","2015",76.8,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","LUX","Luxembourg","2016","2016",78.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","LUX","Luxembourg","2017","2017",78.9,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","DEU","Germany","2014","2014",76.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","DEU","Germany","2015","2015",68.3,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","DEU","Germany","2016","2016",68.2,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","DEU","Germany","2017","2017",74,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","EST","Estonia","2014","2014",37.9,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","EST","Estonia","2015","2015",36.9,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","EST","Estonia","2016","2016",33.8,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","EST","Estonia","2017","2017",32.5,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SVK","Slovakia","2014","2014",70.1,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SVK","Slovakia","2015","2015",58.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SVK","Slovakia","2016","2016",59.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","SVK","Slovakia","2017","2017",63.2,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ISL","Iceland","2014","2014",72.9,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","ISL","Iceland","2017","2017",72.5,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","DEU","Germany","2014","2014",34,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","DEU","Germany","2015","2015",39,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","DEU","Germany","2016","2016",39.1,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","DEU","Germany","2017","2017",44,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","LVA","Latvia","2014","2014",40.6,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","HRV","Croatia","2014","2014",24.1,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","HRV","Croatia","2015","2015",43.6,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","HRV","Croatia","2016","2016",41.1,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","HRV","Croatia","2017","2017",41.7,,
"YADULT_PORCENTICTSKILL_CONNEC","Proportion of youth and adults who have connected and installed new devices (%)","ITA","Italy","2014","2014",39.6,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","ROU","Romania","2014","2014",4.9,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","ROU","Romania","2015","2015",13.1,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","ROU","Romania","2016","2016",12.5,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","ROU","Romania","2017","2017",13.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","EGY","Egypt","2014","2014",11.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","EGY","Egypt","2015","2015",13.4,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","EGY","Egypt","2016","2016",42.7,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","MAR","Morocco","2014","2014",36.8,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","MAR","Morocco","2015","2015",35.3,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","MAR","Morocco","2016","2016",45,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","MAR","Morocco","2017","2017",47.7,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","BEL","Belgium","2014","2014",36,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","BEL","Belgium","2015","2015",33,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","BEL","Belgium","2016","2016",34.5,,
"YADULT_PORCENTICTSKILL_CREAT","Proportion of youth and adults who have created electronic presentations with presentation software (%)","BEL","Belgium","2017","2017",33.6,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","NLD","Netherlands","2014","2014",72.2,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","NLD","Netherlands","2015","2015",64.8,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","NLD","Netherlands","2016","2016",67.1,,
"YADULT_PORCENTICTSKILL_COPI","Proportion of youth and adults who have copied or moved a file or folder (%)","NLD","Netherlands","2017","2017",70.7,,
