ISO,Country/Group,1.1.1) Internet users / % of households,1.1.2) Fixed-line broadband subscribers / Per 100 inhabitants,1.1.3) Mobile subscribers / Per 100 inhabitants,1.1.4) Gender gap in internet access / % difference,1.1.5) Gender gap in mobile phone access / % difference,1.2.1) Average fixed broadband upload speed / Kbps,1.2.2) Average fixed broadband download speed / Kbps,1.2.3) Average fixed broadband latency / ms,1.2.4) Average mobile upload speed / Kbps,1.2.5) Average mobile download speed / Kbps,1.2.6) Average mobile latency / ms,1.2.7) Bandwidth capacity / Bit/s per Internet user,1.3.1) Network coverage (min. 2G) / % of population,1.3.2) Network coverage (min. 3G) / % of population,1.3.3) Network coverage (min. 4G) / % of population,"1.3.4) Government initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best","1.3.5) Private sector initiatives to make Wi-Fi available / Qualitative rating 0-2, 2=best",1.3.6) Internet exchange points / Number of IXPs per 10 million inhabitants,1.4.1) Urban electricity access / % of population,1.4.2) Rural electricity access / % of population,"2.1.1) Smartphone cost (handset) / Score of 0-100, 100=most affordable",2.1.2) Mobile phone cost (prepaid tariff) / % of monthly GNI per capita,2.1.3) Mobile phone cost (postpaid tariff) / % of monthly GNI per capita,2.1.4) Fixed-line monthly broadband cost / % of monthly GNI per capita,"2.2.1) Average revenue per user (ARPU, annualized) / USD","2.2.2) Wireless operators' market share / HHI score (0-10,000)","2.2.3) Broadband operators' market share / HHI score (0-10,000)","3.1.1) Availability of basic information in the local language / Qualitative rating 0-2, 2=best","3.1.2) Concentration of websites using country-level domains / Qualitative rating 0-3, 3=best","3.1.3) Availability of e-Government services in the local language / Qualitative rating 0-2, 2=best","3.2.1) e-Finance content / Qualitative rating 0-2, 2=best",3.2.2) Value of e-finance / %,"3.2.3) e-Health content / Qualitative rating 0-3, 3=best",3.2.4) Value of e-health / %,3.2.5) e-Entertainment usage / %,"3.2.6) e-Commerce content / Score of 0-100, 100=best",3.2.7) Value of e-Commerce / %,4.1.1) Level of literacy / % of population,4.1.2) Educational attainment / Years of schooling,"4.1.3) Support for digital literacy / Qualitative rating 0-3, 3=best","4.1.4) Level of web accessibility / Qualitative rating 0-4, 4=best","4.2.1) Privacy regulations / Qualitative rating 0-2, 2=best",4.2.2) Trust in online privacy / %,4.2.3) Trust in Government websites and apps / %,4.2.4) Trust in Non-government websites and apps / %,4.2.5) Trust in information from social media / %,4.2.6) e-Commerce safety / %,"4.3.1) National female e-inclusion policies / Qualitative rating 0-4, 4=best","4.3.1.1) Comprehensive female e-inclusion plan / Qualitative rating 0-2, 2=best","4.3.1.2) Female digital skills training plan / Qualitative rating 0-1, 1=best","4.3.1.3) Female STEM education plan / Qualitative rating 0-1, 1=best","4.3.2) Government e-inclusion strategy / Qualitative rating 0-2, 2=best","4.3.3) National broadband strategy / Qualitative rating 0-2, 2=best","4.3.4) Funding for broadband buildout / Qualitative rating 0-1, 1=best","4.3.5) Spectrum policy approach / Qualitative rating 0-2, 2=best","4.3.5.1) Technology-neutrality policy for spectrum use / Qualitative rating 0-1, 1=best","4.3.5.2) Unlicensed spectrum policy / Qualitative rating 0-1, 1=best","4.3.6) National digital identification system / Qualitative rating 0-2, 2=best",BG1) Nominal GDP / USD billions,BG2) Population / Millions,BG3) Urbanization rate / % of population,BG4) GNI per capita / US$ per person,"BG5) GINI coefficient / Score, 0-100; 0 is perfect equality; 100 is perfect inequality",BG6) Population under the poverty line / % of population,BG7) Total electricity access / % of population,BG8) Cable landing stations / Number of cable landing stations per 10 million inhabitants,BG9) Percentage of schools with Internet access / % of schools,"BG10) Global Peace Index / Score, 1-5; 1 = best","BG11) Democracy Index / Score, 0-10; 10 = best","BG12) Corruption Perceptions Index / Score, 0-100; 100 = best","BG13) EIU Business Environment Rankings / Score, 1-10, 10 = high","BG14) UN E-Government Development Index / Score, 0-1; 1 = best",BG15) Internet users (population) / Millions,BG16) Offline population / Millions,"BG17) Plan addressing female-driven innovation and women-owned businesses / Qualitative rating 0-1, 1=best",BG18) Internet access gender gap / Difference in percentage points,BG19) Mobile phone access gender gap / Difference in percentage points,BG20) Internet users (percent of population) / % of population,BG21) Male internet users / % of male population,BG22) Female internet users / % of female population,BG23) Male mobile phone subscribers / % of male population,BG24) Female mobile phone subscribers / % of female population,BG25) Total fixed line broadband subscribers / Number of subscriptions
BG,Bulgaria,67.32588082,25.48,121.03,4.761904762,-1.123595506,29069.97779,39490.52164,21.01286648,16320.15754,40620.44608,30.17980008,207474.3385,99.99,99.99,99.34,2,2,7.05716302,100,100,86.16258566,0.26642595,1.160003093,1.764292172,83.9011,3341.14,3003.84,2,3,2,2,70,3,68,96,66,32,98.38858,10.8,3,2,2,40,36,16,28,50,3,2,1,0,2,2,1,2,1,1,2,56.8327,7.085,74.6,7760,37.4,0.5,100,1.411432604,100,1.635,7.026727358,43,6.5,0.7177,4.15505,2.942746,0,-3,1,63.41010138,66,63,88,89,1764782
BF,Burkina Faso,10.59,0.073290887,93.50293242,10,11.42857143,8930.709708,17088.83868,54.09528368,4558.908637,4831.047985,68.56567844,6065.979618,93,32,0,0,0,0.52102329,58.1,1.455566069,32.48971389,8.448855578,17.84640315,42.24427789,66,3553.42,8561.68,2,1,1,1,46,2,74,64,18,30,37.7467,1.4,1,1,2,42,62,28,22,56.52173913,2,2,0,0,1,1,1,1,1,0,2,12.88,19.193,28.743,610,35.3,11.1,17.73687571,0,2.57757,2.029,4.754365079,42,4.75236868,0.3016,1.894498,16.739227,0,-2,-8,13.96,22,20,78,70,14067
KH,Cambodia,26,0.810040478,116.0421129,47.05882353,17.39130435,16417.35711,13013.73714,17.61053007,8550.794911,7380.877544,37.44679715,18814.45924,99,83.9,57.5,2,1,1.249609497,97,49.80210624,74.39140702,0.975609756,2.352941176,11.70731707,24.48,3513.77,4887.68,2,2,1,2,50,2,68,72,29,28,78.34594,4.7,3,1,0,36,34,30,14,43.18181818,0,0,0,0,1,2,0,0,0,0,2,22.121,16.005,22.98,1230,30.76,0.8,60.64818223,1.874414246,6.563461887,2.101,3.626027077,21,5.760083616,0.3753,1.756824,14.070417,0,-16,-12,33.99999913,50,34,81,69,129650
CM,Cameroon,21.69999563,0.175095527,81.92504638,9.090909091,-2.564102564,4764.684331,5873.143534,57.08948938,5629.549822,7643.366265,62.69711412,2607.598753,84.2,75,53,2,0,0.415800416,95.9,19.46918346,87.52834684,1.288450476,9.145439608,22.58577893,52.8,3310.86,3890.02,2,1,1,2,46,2,78,80,35,26,74.98558,6.1,3,1,0,30,60,48,46,35.48387097,2,2,0,0,1,2,1,0,0,0,2,34.7986,24.05,55.777,1360,46.6,7.6,62.1,2.494802495,23.10157,2.484,3.612441643,25,5.009298077,0.3997,4.311178,19.613229,0,-3,2,23.20297197,36,33,76,78,42117
CA,Canada,87.44088611,38.01449419,85.89566696,1.098901099,0,25032.85351,58775.93007,32.72544301,14635.98374,54157.19675,40.08999848,139569.5143,99.4,99.4,98.5,2,2,3.27689787,100,100,98.12199923,0.487472009,1.416568271,0.729913831,570.5191,2769.07,1648.16,2,1,2,2,47.05882353,3,70.58823529,92.15686275,92,33.33333333,100,13.1,2,1,2,52.94117647,43.1372549,23.52941176,19.60784314,52.08333333,3,2,0,1,2,2,1,2,1,1,0,1652.9,36.62,82.189,42870,34,0.2,100,2.18459858,97,1.372,9.150793651,82,8.2,0.8258,32.120519,4.165859,1,-1,0,91.16,92,91,82,82,13922504
CL,Chile,87.53899513,16.94281597,127.4632858,1.369863014,-1.086956522,13014.55441,49458.199,32.04123884,9335.868023,17028.61168,43.04974491,112058.5531,96,95,79,2,2,1.662049861,100,100,96.71848068,0.951234734,1.249324163,2.852345296,153.6889,2753.38,2920.82,2,2,2,2,63.46153846,3,61.53846154,88.46153846,64,40.38461538,96.62755,9.9,3,2,2,59.61538462,51.92307692,40.38461538,26.92307692,73.07692308,4,2,1,1,2,2,1,2,1,1,2,276.99,18.05,89.883,13610,47.7,0.8,100,8.310249307,78,1.649,7.843370682,67,7.7,0.735,14.108392,4.023458,1,-1,1,82.32748693,74,73,91,92,3058979
CN,China,55.5209346,26.85600056,104.5816819,-7.352941176,-1.052631579,27747.39933,84376.64413,13.14226323,18103.95244,42185.25011,35.54577124,14755.28838,99.5,98,98,2,0,0.072886297,100,100,95.14963344,0.612937249,0.779299046,2.165711614,101.2395,4533.84,3107.1,2,2,2,2,70,2,60,84,60,30,96.35745,7.6,3,1,2,56,60,34,34,70,3,2,0,1,2,2,1,1,0,1,2,12014.6,1372,56.939,8690,42.2,0.2,100,0.255102041,97.95665,2.243,3.099673203,41,6,0.6811,721.434547,660.888785,0,5,1,54.3,63,68,94,95,378540000
CO,Colombia,49.95223366,12.87854234,126.8138818,22.44897959,2.469135802,4750.47749,10477.47391,52.93637505,6867.321691,9888.450088,54.30287393,155416.8325,100,100,96,2,2,0.203807117,100,84.65787051,97.40427633,2.991938025,1.722431043,4.038070202,67.1763,3574.05,2441.68,2,1,2,2,48,3,68,90,55,30,94.57706,7.6,3,2,2,56,58,42,28,57.77777778,2,1,1,0,2,2,1,2,1,1,2,314.46,49.066,76.991,5830,50.8,1.8,97,3.057106754,69.86326,2.729,6.667600373,37,5.8,0.6871,27.664747,20.989645,0,-11,-2,62.25988032,60,49,83,81,6318936
CD,Congo (DRC),2.8,0.001229408,43.36139809,73.33333333,51.35135135,8269.200074,16526.61924,55.45444768,3728.375163,2588.54784,94.40550232,715.8203927,50,40,0,0,0,0.122940743,34.75778499,0.362463605,47.91632803,39.13043478,40.1916544,1084.747255,33.6,2855.73,5873.62,2,1,1,1,42,1,70,74,16,28,77.04268,6.1,2,1,1,34,58,38,22,59.57446809,0,0,0,0,0,0,1,0,0,0,0,37.642,81.34,43.88,450,42.1,39.2,15.45513063,0.245881485,9.204733105,3.251,1.613772176,21,3.910658654,0.2612,3.10121,76.621414,0,-11,-19,6.20997406,26,15,56,37,1000
CR,Costa Rica,68.56775796,15.16702071,130,4,1.098901099,3658.397961,9107.451706,45.15224946,5644.836562,9653.697344,75.86741659,71358.60594,97.3,97.3,82.2,0,0,2.038403522,100,96.87792694,95.73411737,0.001920128,1.420549383,1.876991755,116.4,3822.65,2220.74,2,2,2,1,48,3,46,76,62,42,97.64725,8.7,3,2,2,58,38,42,44,67.39130435,4,2,1,1,2,2,1,2,1,1,2,57.8305,4.9058,78.56,11040,48.7,0.5,99.33062754,8.153614089,50.80092,1.767,7.87710084,59,6.539826923,0.7004,2.7385,2.118718,0,-3,-1,71.58166462,78,75,92,91,744059
CI,Côte d'Ivoire,22.65,0.587884214,130,60,18.57142857,7550,15150,107,7980,13750,66.12213869,4038.980408,97.94,60,47,2,1,0.41153957,88,31.49505635,94.82574357,2.67729969,8.312023383,25.43434705,46.8,3458.24,8330.44,2,1,1,1,46,1,62,76,35,18,43.26532,5,0,1,2,42,70,42,30,53.19148936,0,0,0,0,1,2,1,1,1,0,2,40.3887,24.299,50.326,1540,41.5,9.1,59.93173429,1.234618709,13.54757242,2.207,3.92710084,36,5.350322115,0.2776,5.122897,18.131287,0,-12,-13,43.83992085,32,20,83,70,142825
CZ,Czech Republic,77.16361814,28.82378663,118.9920555,3.797468354,-2.105263158,18578.59633,31838.27368,23.0625074,13703.27241,29926.437,36.73908688,184117.0774,99.8,99.8,99.8,2,2,3.766833035,100,100,95.83906181,0.562525335,1.073728264,1.410553478,156.1486,3448.06,4048.48,2,3,1,1,58,2,44,92,84,30,100,12.3,3,4,2,24,36,24,18,56,2,2,0,0,1,2,1,2,1,1,2,216.1,10.619,72.938,18160,25.9,0,100,0,83.59833695,1.381,7.616596639,57,7.5,0.7084,9.323428,1.22463,0,-3,2,78.71917285,82,79,93,95,3060597
DK,Denmark,93.69516127,43.17362835,121.7107513,4.301075269,1.020408163,54164.90564,71829.31594,21.59959986,18385.68814,42015.4259,28.60889464,238694.8644,100,100,100,2,2,5.232314776,100,100,98.43405307,0.000296205,0.500397351,0.819501779,231.5731,2896.18,3483.08,2,3,2,2,52,3,44,84,93,44,100,12.7,3,2,2,38,52,24,22,72.91666667,2,2,0,0,2,2,1,2,1,1,2,325.8,5.7336,88.029,55220,28.2,0.1,100,61.04367239,100,1.353,9.222338936,88,8.4,0.915,5.479054,0.211696,0,-4,-1,97.09936216,97,93,99,98,2475382
DO,Dominican Republic,25.17006935,7.304338684,81.44449363,-3.278688525,1.234567901,5383.886867,20000.87245,40.03591038,8410.793381,10849.68956,38.0513308,21430.64198,99.52,99.15,90.43,2,2,1.857527631,98.5,91.40168838,95.31938755,1.977919948,3.499260563,4.203079889,156,4563.52,5114.62,2,1,2,1,44,2,70,88,42,30,92.46542,7.7,3,2,2,56,52,40,34,56.09756098,4,2,1,1,2,2,1,2,1,1,2,76.0113,10.767,80.277,6630,45.3,0.4,97.1,8.358874338,30.74152238,2.073,6.663748833,29,5.252972028,0.5726,5.513852,5.134761,0,2,-1,63.87,59,61,82,81,786458
EC,Ecuador,37.20081299,10.12810455,83.49883049,23.07692308,10.95890411,7774.780414,9082.109132,37.32827253,6681.468129,12455.3692,51.50196956,43895.70543,97.08,92.34,58.75,2,2,1.78784267,99,94.32067162,92.9928596,2.037351443,3.286786476,4.769439697,133.6632,4057.78,3146.94,2,2,2,2,53.7037037,3,70.37037037,90.74074074,41,33.33333333,94.35023,8.3,3,3,0,66.66666667,64.81481481,44.44444444,33.33333333,63.82978723,0,0,0,0,1,2,1,2,1,1,2,103.06,16.78,64.2,5890,45,1.2,97.3,2.383790226,45.23,1.987,6.017623716,32,5,0.6129,7.055575,9.329875,0,-12,-8,57.27224368,64,52,81,73,1683783
EG,Egypt,49.21296815,5.354323204,105.5406134,29.41176471,19.17808219,1021.780616,4779.706425,53.03150981,4718.972446,8126.817893,47.88754532,14692.1973,99.8,98.71,61,2,2,0.210084034,99.9,99.7237432,77.75176287,0.336288777,2.665714118,1.277897352,37.0861,3386.02,6374.7,2,0,1,2,21.15384615,2,59.61538462,98.07692308,29,25,75.84262,7.1,1,0,0,48.07692308,57.69230769,46.15384615,51.92307692,70.21276596,2,1,1,0,2,2,1,0,0,0,2,194.49,95.2,43.264,3010,31.8,0.2,99.79901367,2.415966387,49.06349,2.632,3.36442577,32,5,0.488,30.835256,62.548318,0,-10,-14,44.95020425,44,34,87,73,5223311
SV,El Salvador,16.9,6.941630671,130,27.65957447,12.82051282,2878.205436,5939.143758,66.90479331,3481.904108,7150.698023,50.83134726,68161.27453,97,86,15,2,2,0,98,91.03742385,96.06823121,1.179775281,4.724409449,7.446067467,103.2,2663.6,3874.98,2,2,1,2,45.09803922,3,49.01960784,86.2745098,49,19.60784314,87.64822,6.5,3,2,1,39.21568627,47.05882353,35.29411765,21.56862745,61.53846154,1,0,1,0,0,0,0,2,1,1,2,24.8042,6.38,71.275,3560,40,0.5,96,0,40.13937,2.275,6.427637722,33,5.897129808,0.5469,2.352849,3.79357,0,-13,-10,28.99707305,60,47,88,78,442727
EE,Estonia,88.26446281,30.90043615,130,8.641975309,1.030927835,26804.03261,33981.72973,21.88118924,12047.82889,29472.00483,25.77919686,205033.5615,100,100,99,2,2,15.20218912,100,100,95.69297133,0.07434134,0.547952897,1.189461439,132.2352,3446.43,4063.88,2,3,2,2,73.07692308,2,71.15384615,90.38461538,90,46.15384615,99.82351,12.5,3,2,2,25,38.46153846,38.46153846,26.92307692,53.06122449,4,2,1,1,1,2,1,2,1,1,2,26.6681,1.3156,68.717,18190,32.7,0.4,100,45.60656735,100,1.732,7.791199813,71,7.458758741,0.8486,1.196521,0.112583,0,-7,-1,88.10245687,88,81,98,97,404682
ET,Ethiopia,15.36692386,0.552719284,59.65942118,50,42.55319149,11183.29241,5225.414467,35.1663525,4995.032625,5958.172141,64.4370158,2220.545813,97,85,10,0,0,0,70.96939,38.18059592,10.48083346,6.272888118,1.677117594,18.44967093,20.0823,10000,10000,2,1,1,1,36,2,60,78,16,28,49.03152,2.6,3,2,2,50,50,38,28,71.05263158,3,1,1,1,2,2,1,0,0,0,1,75.3794,104.96,20.31,740,39.1,7.7,44.84,0,7.326324812,2.524,3.420985061,35,4.282826923,0.3463,4.288023,97.565245,0,-5,-20,15.36692386,15,10,67,47,580120
FI,Finland,87.78241386,30.94927589,130,0,0,17614.55537,37122.37938,31.14634217,13454.04676,34839.09524,28.11140363,215389.678,99.99,99.9,99.9,2,2,9.052723059,100,100,97.85751975,0.542970258,0.094210753,0.876639139,211.3204,3336.06,2741.86,2,3,2,2,43.1372549,3,66.66666667,94.11764706,93,50.98039216,100,11.2,3,1,2,68.62745098,52.94117647,25.49019608,5.882352941,65.30612245,2,2,0,0,2,2,1,2,1,1,2,252.78,5.5232,84.495,44580,27.1,0,100,34.40034762,100,1.506,9.032446312,85,8.2,0.8815,5.107402,0.416502,0,0,0,87.46892907,93,93,100,100,1709400
FR,France,71.45365104,43.75068906,106.2134196,4.494382022,4.651162791,27550.78268,49076.3131,37.54979652,9700.702441,32018.41187,44.03314158,106448.5092,99,99,98,2,2,2.154542237,100,100,98.9215545,0.356141421,0.555325036,0.889997402,297.1446,2659.69,2679.58,2,3,2,2,46,3,56,86,90,22,100,11.6,1,2,2,62,60,46,34,73.33333333,2,2,0,0,2,2,1,2,1,1,2,2589.6,64.979,79.986,37970,32.7,0,100,3.231813355,100,1.909,7.803104575,70,8,0.879,55.86033,8.807799,0,-4,-4,80.5,93,89,90,86,28429000
